C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\connectors\checkpoint_connector.py:45: LightningDeprecationWarning: Setting `Trainer(resume_from_checkpoint=)` is deprecated in v1.5 and will be removed in v1.7. Please pass `Trainer.fit(ckpt_path=)` directly instead.
  rank_zero_deprecation(
C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\trainer.py:1584: UserWarning: GPU available but not used. Set the gpus flag in your trainer `Trainer(gpus=1)` or script `--gpus=1`.
  rank_zero_warn(
C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\trainer.py:1905: LightningDeprecationWarning: `trainer.resume_from_checkpoint` is deprecated in v1.5 and will be removed in v1.7. Specify the fit checkpoint path with `trainer.fit(ckpt_path=)` instead.
  rank_zero_deprecation(
C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\connectors\checkpoint_connector.py:250: UserWarning: You're resuming from a checkpoint that ended mid-epoch. Training will start from the beginning of the next epoch. This can cause unreliable results if further training is done, consider using an end of epoch checkpoint.
  rank_zero_warn(
C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\data_loading.py:132: UserWarning: The dataloader, train_dataloader, does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` (try 16 which is the number of cpus on this machine) in the `DataLoader` init to improve performance.
  rank_zero_warn(

Training: 0it [00:00, ?it/s]
Training: 0it [00:00, ?it/s]
Epoch 5: : 0it [00:00, ?it/s]
Epoch 5: : 1it [00:00,  9.62it/s]
Epoch 5: : 124it [00:06, 19.38it/s, loss=0.246, v_num=41, train_loss:=0.715, loss_ratio:=0.306, avg_winning_turns:=3.900, total wins:=997.0]
Epoch 5: : 125it [00:06, 19.38it/s, loss=0.222, v_num=41, train_loss:=0.715, loss_ratio:=0.306, avg_winning_turns:=3.900, total wins:=997.0]
Epoch 5: : 126it [00:06, 19.38it/s, loss=0.25, v_num=41, train_loss:=0.715, loss_ratio:=0.306, avg_winning_turns:=3.900, total wins:=997.0] 
Epoch 5: : 127it [00:06, 19.37it/s, loss=0.25, v_num=41, train_loss:=0.715, loss_ratio:=0.306, avg_winning_turns:=3.900, total wins:=997.0]
Epoch 5: : 127it [00:06, 19.36it/s, loss=0.248, v_num=41, train_loss:=0.715, loss_ratio:=0.306, avg_winning_turns:=3.900, total wins:=997.0]
Epoch 5: : 128it [00:06, 19.35it/s, loss=0.307, v_num=41, train_loss:=0.715, loss_ratio:=0.306, avg_winning_turns:=3.900, total wins:=997.0]
Epoch 5: : 129it [00:06, 19.35it/s, loss=0.336, v_num=41, train_loss:=0.715, loss_ratio:=0.306, avg_winning_turns:=3.900, total wins:=997.0]
Epoch 5: : 130it [00:06, 19.34it/s, loss=0.336, v_num=41, train_loss:=0.715, loss_ratio:=0.306, avg_winning_turns:=3.900, total wins:=997.0]
Epoch 5: : 130it [00:06, 19.33it/s, loss=0.367, v_num=41, train_loss:=0.715, loss_ratio:=0.306, avg_winning_turns:=3.900, total wins:=997.0]
Epoch 5: : 131it [00:06, 19.32it/s, loss=0.339, v_num=41, train_loss:=0.715, loss_ratio:=0.306, avg_winning_turns:=3.900, total wins:=997.0]
Epoch 5: : 132it [00:06, 19.31it/s, loss=0.312, v_num=41, train_loss:=0.715, loss_ratio:=0.306, avg_winning_turns:=3.900, total wins:=997.0]
Epoch 5: : 133it [00:06, 19.31it/s, loss=0.312, v_num=41, train_loss:=0.715, loss_ratio:=0.306, avg_winning_turns:=3.900, total wins:=997.0]
Epoch 5: : 133it [00:06, 19.30it/s, loss=0.332, v_num=41, train_loss:=0.715, loss_ratio:=0.306, avg_winning_turns:=3.900, total wins:=997.0]
Epoch 5: : 134it [00:06, 19.29it/s, loss=0.304, v_num=41, train_loss:=0.715, loss_ratio:=0.306, avg_winning_turns:=3.900, total wins:=997.0]
Epoch 5: : 135it [00:06, 19.30it/s, loss=0.319, v_num=41, train_loss:=0.715, loss_ratio:=0.306, avg_winning_turns:=3.900, total wins:=997.0]
Epoch 5: : 136it [00:07, 19.30it/s, loss=0.319, v_num=41, train_loss:=0.715, loss_ratio:=0.306, avg_winning_turns:=3.900, total wins:=997.0]
Epoch 5: : 136it [00:07, 19.29it/s, loss=0.359, v_num=41, train_loss:=0.715, loss_ratio:=0.306, avg_winning_turns:=3.900, total wins:=997.0]
Epoch 5: : 137it [00:07, 19.29it/s, loss=0.319, v_num=41, train_loss:=0.715, loss_ratio:=0.306, avg_winning_turns:=3.900, total wins:=997.0]
Epoch 5: : 138it [00:07, 19.29it/s, loss=0.31, v_num=41, train_loss:=0.715, loss_ratio:=0.306, avg_winning_turns:=3.900, total wins:=997.0] 
Epoch 5: : 139it [00:07, 19.30it/s, loss=0.31, v_num=41, train_loss:=0.715, loss_ratio:=0.306, avg_winning_turns:=3.900, total wins:=997.0]
