C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\connectors\checkpoint_connector.py:45: LightningDeprecationWarning: Setting `Trainer(resume_from_checkpoint=)` is deprecated in v1.5 and will be removed in v1.7. Please pass `Trainer.fit(ckpt_path=)` directly instead.
  rank_zero_deprecation(
C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\trainer.py:1584: UserWarning: GPU available but not used. Set the gpus flag in your trainer `Trainer(gpus=1)` or script `--gpus=1`.
  rank_zero_warn(
C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\trainer.py:1905: LightningDeprecationWarning: `trainer.resume_from_checkpoint` is deprecated in v1.5 and will be removed in v1.7. Specify the fit checkpoint path with `trainer.fit(ckpt_path=)` instead.
  rank_zero_deprecation(
C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\connectors\checkpoint_connector.py:250: UserWarning: You're resuming from a checkpoint that ended mid-epoch. Training will start from the beginning of the next epoch. This can cause unreliable results if further training is done, consider using an end of epoch checkpoint.
  rank_zero_warn(
C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\data_loading.py:132: UserWarning: The dataloader, train_dataloader, does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` (try 16 which is the number of cpus on this machine) in the `DataLoader` init to improve performance.
  rank_zero_warn(

Training: 0it [00:00, ?it/s]
Training: 0it [00:00, ?it/s]
Epoch 4: : 0it [00:00, ?it/s]
Epoch 4: : 1it [00:00,  9.80it/s]
Epoch 4: : 129it [00:06, 19.50it/s, loss=338, v_num=40, train_loss:=304.0, loss_ratio:=0.329, avg_winning_turns:=3.970, total wins:=944.0]
Epoch 4: : 130it [00:06, 19.45it/s, loss=325, v_num=40, train_loss:=304.0, loss_ratio:=0.329, avg_winning_turns:=3.970, total wins:=944.0]
Epoch 4: : 131it [00:06, 19.43it/s, loss=325, v_num=40, train_loss:=304.0, loss_ratio:=0.329, avg_winning_turns:=3.970, total wins:=944.0]
Epoch 4: : 131it [00:06, 19.43it/s, loss=328, v_num=40, train_loss:=304.0, loss_ratio:=0.329, avg_winning_turns:=3.970, total wins:=944.0]
Epoch 4: : 132it [00:06, 19.39it/s, loss=335, v_num=40, train_loss:=304.0, loss_ratio:=0.329, avg_winning_turns:=3.970, total wins:=944.0]
Epoch 4: : 133it [00:06, 19.36it/s, loss=326, v_num=40, train_loss:=304.0, loss_ratio:=0.329, avg_winning_turns:=3.970, total wins:=944.0]
Epoch 4: : 134it [00:06, 19.37it/s, loss=326, v_num=40, train_loss:=304.0, loss_ratio:=0.329, avg_winning_turns:=3.970, total wins:=944.0]
Epoch 4: : 134it [00:06, 19.37it/s, loss=345, v_num=40, train_loss:=304.0, loss_ratio:=0.329, avg_winning_turns:=3.970, total wins:=944.0]
Epoch 4: : 135it [00:06, 19.39it/s, loss=335, v_num=40, train_loss:=304.0, loss_ratio:=0.329, avg_winning_turns:=3.970, total wins:=944.0]
Epoch 4: : 136it [00:07, 19.40it/s, loss=345, v_num=40, train_loss:=304.0, loss_ratio:=0.329, avg_winning_turns:=3.970, total wins:=944.0]
Epoch 4: : 137it [00:07, 19.41it/s, loss=345, v_num=40, train_loss:=304.0, loss_ratio:=0.329, avg_winning_turns:=3.970, total wins:=944.0]
Epoch 4: : 137it [00:07, 19.40it/s, loss=340, v_num=40, train_loss:=304.0, loss_ratio:=0.329, avg_winning_turns:=3.970, total wins:=944.0]
Epoch 4: : 138it [00:07, 19.41it/s, loss=321, v_num=40, train_loss:=304.0, loss_ratio:=0.329, avg_winning_turns:=3.970, total wins:=944.0]
Epoch 4: : 139it [00:07, 19.42it/s, loss=308, v_num=40, train_loss:=304.0, loss_ratio:=0.329, avg_winning_turns:=3.970, total wins:=944.0]
Epoch 4: : 140it [00:07, 19.44it/s, loss=308, v_num=40, train_loss:=304.0, loss_ratio:=0.329, avg_winning_turns:=3.970, total wins:=944.0]
Epoch 4: : 140it [00:07, 19.43it/s, loss=311, v_num=40, train_loss:=304.0, loss_ratio:=0.329, avg_winning_turns:=3.970, total wins:=944.0]
Epoch 4: : 141it [00:07, 19.44it/s, loss=311, v_num=40, train_loss:=304.0, loss_ratio:=0.329, avg_winning_turns:=3.970, total wins:=944.0]
Epoch 4: : 142it [00:07, 19.45it/s, loss=327, v_num=40, train_loss:=304.0, loss_ratio:=0.329, avg_winning_turns:=3.970, total wins:=944.0]
Epoch 4: : 143it [00:07, 19.47it/s, loss=327, v_num=40, train_loss:=304.0, loss_ratio:=0.329, avg_winning_turns:=3.970, total wins:=944.0]
Epoch 4: : 143it [00:07, 19.47it/s, loss=325, v_num=40, train_loss:=304.0, loss_ratio:=0.329, avg_winning_turns:=3.970, total wins:=944.0]
Epoch 4: : 144it [00:07, 19.48it/s, loss=325, v_num=40, train_loss:=304.0, loss_ratio:=0.329, avg_winning_turns:=3.970, total wins:=944.0]
