C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\trainer.py:1584: UserWarning: GPU available but not used. Set the gpus flag in your trainer `Trainer(gpus=1)` or script `--gpus=1`.
  rank_zero_warn(
C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\data_loading.py:132: UserWarning: The dataloader, train_dataloader, does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` (try 16 which is the number of cpus on this machine) in the `DataLoader` init to improve performance.
  rank_zero_warn(

Training: 0it [00:00, ?it/s]
Training: 0it [00:00, ?it/s]
Epoch 0: : 0it [00:00, ?it/s]
Epoch 0: : 189it [00:01, 154.41it/s, loss=nan, v_num=23]
Epoch 0: : 190it [00:01, 154.35it/s, loss=nan, v_num=23]
Epoch 0: : 191it [00:01, 154.16it/s, loss=nan, v_num=23]
Epoch 0: : 192it [00:01, 154.09it/s, loss=nan, v_num=23]
Epoch 0: : 193it [00:01, 154.15it/s, loss=nan, v_num=23]
Epoch 0: : 194it [00:01, 154.21it/s, loss=nan, v_num=23]
Epoch 0: : 195it [00:01, 154.39it/s, loss=nan, v_num=23]
Epoch 0: : 196it [00:01, 154.45it/s, loss=nan, v_num=23]
Epoch 0: : 197it [00:01, 154.51it/s, loss=nan, v_num=23]
Epoch 0: : 198it [00:01, 154.45it/s, loss=nan, v_num=23]
Epoch 0: : 199it [00:01, 154.38it/s, loss=nan, v_num=23]
Epoch 0: : 200it [00:01, 154.44it/s, loss=nan, v_num=23]C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\connectors\logger_connector\result.py:227: UserWarning: You called `self.log('total wins:', ...)` in your `training_step` but the value needs to be floating point. Converting it to torch.float32.
  warning_cache.warn(

Epoch 0: : 201it [00:01, 142.45it/s, loss=nan, v_num=23, train_loss:=nan.0, loss_ratio:=0.842, avg_winning_turns:=1.000, total wins:=7.000]
Epoch 0: : 202it [00:01, 142.45it/s, loss=nan, v_num=23, train_loss:=nan.0, loss_ratio:=0.842, avg_winning_turns:=1.000, total wins:=7.000]
Epoch 0: : 202it [00:01, 142.35it/s, loss=nan, v_num=23, train_loss:=nan.0, loss_ratio:=0.842, avg_winning_turns:=1.000, total wins:=7.000]
Epoch 0: : 203it [00:01, 142.46it/s, loss=nan, v_num=23, train_loss:=nan.0, loss_ratio:=0.842, avg_winning_turns:=1.000, total wins:=7.000]
Epoch 0: : 204it [00:01, 142.46it/s, loss=nan, v_num=23, train_loss:=nan.0, loss_ratio:=0.842, avg_winning_turns:=1.000, total wins:=7.000]
Epoch 0: : 205it [00:01, 142.56it/s, loss=nan, v_num=23, train_loss:=nan.0, loss_ratio:=0.842, avg_winning_turns:=1.000, total wins:=7.000]
Epoch 0: : 206it [00:01, 142.56it/s, loss=nan, v_num=23, train_loss:=nan.0, loss_ratio:=0.842, avg_winning_turns:=1.000, total wins:=7.000]
Epoch 0: : 207it [00:01, 142.66it/s, loss=nan, v_num=23, train_loss:=nan.0, loss_ratio:=0.842, avg_winning_turns:=1.000, total wins:=7.000]
Epoch 0: : 208it [00:01, 142.56it/s, loss=nan, v_num=23, train_loss:=nan.0, loss_ratio:=0.842, avg_winning_turns:=1.000, total wins:=7.000]
Epoch 0: : 209it [00:01, 142.66it/s, loss=nan, v_num=23, train_loss:=nan.0, loss_ratio:=0.842, avg_winning_turns:=1.000, total wins:=7.000]
Epoch 0: : 210it [00:01, 142.76it/s, loss=nan, v_num=23, train_loss:=nan.0, loss_ratio:=0.842, avg_winning_turns:=1.000, total wins:=7.000]
Epoch 0: : 211it [00:01, 142.86it/s, loss=nan, v_num=23, train_loss:=nan.0, loss_ratio:=0.842, avg_winning_turns:=1.000, total wins:=7.000]
Epoch 0: : 212it [00:01, 142.95it/s, loss=nan, v_num=23, train_loss:=nan.0, loss_ratio:=0.842, avg_winning_turns:=1.000, total wins:=7.000]
Epoch 0: : 213it [00:01, 143.05it/s, loss=nan, v_num=23, train_loss:=nan.0, loss_ratio:=0.842, avg_winning_turns:=1.000, total wins:=7.000]
Epoch 0: : 214it [00:01, 143.14it/s, loss=nan, v_num=23, train_loss:=nan.0, loss_ratio:=0.842, avg_winning_turns:=1.000, total wins:=7.000]
Epoch 0: : 215it [00:01, 143.24it/s, loss=nan, v_num=23, train_loss:=nan.0, loss_ratio:=0.842, avg_winning_turns:=1.000, total wins:=7.000]
Epoch 0: : 216it [00:01, 143.33it/s, loss=nan, v_num=23, train_loss:=nan.0, loss_ratio:=0.842, avg_winning_turns:=1.000, total wins:=7.000]
Epoch 0: : 217it [00:01, 143.23it/s, loss=nan, v_num=23, train_loss:=nan.0, loss_ratio:=0.842, avg_winning_turns:=1.000, total wins:=7.000]
Epoch 0: : 218it [00:01, 143.33it/s, loss=nan, v_num=23, train_loss:=nan.0, loss_ratio:=0.842, avg_winning_turns:=1.000, total wins:=7.000]
Epoch 0: : 219it [00:01, 143.32it/s, loss=nan, v_num=23, train_loss:=nan.0, loss_ratio:=0.842, avg_winning_turns:=1.000, total wins:=7.000]
Epoch 0: : 220it [00:01, 143.32it/s, loss=nan, v_num=23, train_loss:=nan.0, loss_ratio:=0.842, avg_winning_turns:=1.000, total wins:=7.000]
Epoch 0: : 220it [00:01, 143.23it/s, loss=nan, v_num=23, train_loss:=nan.0, loss_ratio:=0.842, avg_winning_turns:=1.000, total wins:=7.000]
Epoch 0: : 221it [00:01, 143.32it/s, loss=nan, v_num=23, train_loss:=nan.0, loss_ratio:=0.842, avg_winning_turns:=1.000, total wins:=7.000]
Epoch 0: : 222it [00:01, 143.23it/s, loss=nan, v_num=23, train_loss:=nan.0, loss_ratio:=0.842, avg_winning_turns:=1.000, total wins:=7.000]
Epoch 0: : 223it [00:01, 143.04it/s, loss=nan, v_num=23, train_loss:=nan.0, loss_ratio:=0.842, avg_winning_turns:=1.000, total wins:=7.000]
Epoch 0: : 224it [00:01, 143.04it/s, loss=nan, v_num=23, train_loss:=nan.0, loss_ratio:=0.842, avg_winning_turns:=1.000, total wins:=7.000]
Epoch 0: : 225it [00:01, 142.95it/s, loss=nan, v_num=23, train_loss:=nan.0, loss_ratio:=0.842, avg_winning_turns:=1.000, total wins:=7.000]
Epoch 0: : 226it [00:01, 142.95it/s, loss=nan, v_num=23, train_loss:=nan.0, loss_ratio:=0.842, avg_winning_turns:=1.000, total wins:=7.000]
Epoch 0: : 227it [00:01, 142.95it/s, loss=nan, v_num=23, train_loss:=nan.0, loss_ratio:=0.842, avg_winning_turns:=1.000, total wins:=7.000]
Epoch 0: : 228it [00:01, 142.95it/s, loss=nan, v_num=23, train_loss:=nan.0, loss_ratio:=0.842, avg_winning_turns:=1.000, total wins:=7.000]
Epoch 0: : 229it [00:01, 143.04it/s, loss=nan, v_num=23, train_loss:=nan.0, loss_ratio:=0.842, avg_winning_turns:=1.000, total wins:=7.000]
Epoch 0: : 230it [00:01, 142.95it/s, loss=nan, v_num=23, train_loss:=nan.0, loss_ratio:=0.842, avg_winning_turns:=1.000, total wins:=7.000]
Epoch 0: : 231it [00:01, 143.03it/s, loss=nan, v_num=23, train_loss:=nan.0, loss_ratio:=0.842, avg_winning_turns:=1.000, total wins:=7.000]
Epoch 0: : 232it [00:01, 143.03it/s, loss=nan, v_num=23, train_loss:=nan.0, loss_ratio:=0.842, avg_winning_turns:=1.000, total wins:=7.000]
Epoch 0: : 233it [00:01, 143.12it/s, loss=nan, v_num=23, train_loss:=nan.0, loss_ratio:=0.842, avg_winning_turns:=1.000, total wins:=7.000]
Epoch 0: : 234it [00:01, 143.21it/s, loss=nan, v_num=23, train_loss:=nan.0, loss_ratio:=0.842, avg_winning_turns:=1.000, total wins:=7.000]
Epoch 0: : 235it [00:01, 143.29it/s, loss=nan, v_num=23, train_loss:=nan.0, loss_ratio:=0.842, avg_winning_turns:=1.000, total wins:=7.000]
Epoch 0: : 236it [00:01, 143.29it/s, loss=nan, v_num=23, train_loss:=nan.0, loss_ratio:=0.842, avg_winning_turns:=1.000, total wins:=7.000]
Epoch 0: : 237it [00:01, 143.20it/s, loss=nan, v_num=23, train_loss:=nan.0, loss_ratio:=0.842, avg_winning_turns:=1.000, total wins:=7.000]
Epoch 0: : 238it [00:01, 143.11it/s, loss=nan, v_num=23, train_loss:=nan.0, loss_ratio:=0.842, avg_winning_turns:=1.000, total wins:=7.000]
Epoch 0: : 238it [00:01, 143.03it/s, loss=nan, v_num=23, train_loss:=nan.0, loss_ratio:=0.842, avg_winning_turns:=1.000, total wins:=7.000]
Epoch 0: : 239it [00:01, 143.03it/s, loss=nan, v_num=23, train_loss:=nan.0, loss_ratio:=0.842, avg_winning_turns:=1.000, total wins:=7.000]
Epoch 0: : 240it [00:01, 143.03it/s, loss=nan, v_num=23, train_loss:=nan.0, loss_ratio:=0.842, avg_winning_turns:=1.000, total wins:=7.000]
Epoch 0: : 241it [00:01, 143.11it/s, loss=nan, v_num=23, train_loss:=nan.0, loss_ratio:=0.842, avg_winning_turns:=1.000, total wins:=7.000]
Epoch 0: : 242it [00:01, 143.28it/s, loss=nan, v_num=23, train_loss:=nan.0, loss_ratio:=0.842, avg_winning_turns:=1.000, total wins:=7.000]
Epoch 0: : 243it [00:01, 143.36it/s, loss=nan, v_num=23, train_loss:=nan.0, loss_ratio:=0.842, avg_winning_turns:=1.000, total wins:=7.000]
Epoch 0: : 244it [00:01, 143.61it/s, loss=nan, v_num=23, train_loss:=nan.0, loss_ratio:=0.842, avg_winning_turns:=1.000, total wins:=7.000]
